layer,trial_index,tile_size,execution_time
layer_6,0,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 4, 1, 2]], [35, [24, 3, 1]], [62, 0], [68, 0], [74, 1], [101, 0]]",[0.00012625469951140064]
layer_6,1,"[[31, [1, 1, 13, 1, 1]], [33, [4, 1, 2, 1, 2]], [35, [36, 1, 2]], [62, 0], [68, 1], [74, 1], [101, 4]]",[7.043108823529413e-05]
layer_6,2,"[[31, [1, 13, 1, 1, 1]], [33, [8, 1, 1, 2, 1]], [35, [12, 6, 1]], [62, 0], [68, 3], [74, 2], [101, 2]]",[6.660434423331861e-05]
layer_6,3,"[[31, [1, 13, 1, 1, 1]], [33, [2, 2, 1, 2, 2]], [35, [4, 9, 2]], [62, 1], [68, 1], [74, 2], [101, 4]]",[4.354821495327103e-05]
layer_6,4,"[[31, [13, 1, 1, 1, 1]], [33, [1, 8, 1, 1, 2]], [35, [8, 3, 3]], [62, 0], [68, 0], [74, 0], [101, 2]]",[0.0001168624578313253]
layer_6,5,"[[31, [1, 1, 1, 13, 1]], [33, [1, 8, 2, 1, 1]], [35, [36, 2, 1]], [62, 2], [68, 2], [74, 2], [101, 0]]",[8.208603880914408e-05]
layer_6,6,"[[31, [1, 1, 1, 13, 1]], [33, [1, 4, 1, 4, 1]], [35, [72, 1, 1]], [62, 1], [68, 1], [74, 0], [101, 2]]",[0.000951428923076923]
layer_6,7,"[[31, [1, 1, 13, 1, 1]], [33, [4, 2, 2, 1, 1]], [35, [18, 2, 2]], [62, 2], [68, 2], [74, 0], [101, 2]]",[5.145672419992808e-05]
layer_6,8,"[[31, [13, 1, 1, 1, 1]], [33, [4, 1, 1, 2, 2]], [35, [24, 1, 3]], [62, 0], [68, 1], [74, 1], [101, 1]]",[0.00021064073306772908]
layer_6,9,"[[31, [13, 1, 1, 1, 1]], [33, [4, 1, 4, 1, 1]], [35, [12, 3, 2]], [62, 2], [68, 1], [74, 1], [101, 4]]",[2.6117247911921038e-05]
layer_6,10,"[[31, [1, 13, 1, 1, 1]], [33, [16, 1, 1, 1, 1]], [35, [18, 1, 4]], [62, 0], [68, 1], [74, 3], [101, 1]]",[5.868160175228992e-05]
layer_6,11,"[[31, [1, 13, 1, 1, 1]], [33, [4, 1, 2, 2, 1]], [35, [18, 2, 2]], [62, 2], [68, 2], [74, 0], [101, 4]]",[7.5383e-05]
layer_6,12,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 2, 2, 1]], [35, [12, 3, 2]], [62, 2], [68, 2], [74, 2], [101, 3]]",[4.803133693870862e-05]
layer_6,13,"[[31, [1, 13, 1, 1, 1]], [33, [2, 1, 1, 8, 1]], [35, [12, 6, 1]], [62, 0], [68, 3], [74, 2], [101, 2]]",[0.00020254823741935486]
layer_6,14,"[[31, [1, 13, 1, 1, 1]], [33, [4, 1, 1, 2, 2]], [35, [6, 12, 1]], [62, 1], [68, 1], [74, 2], [101, 3]]",[7.636752423788106e-05]
layer_6,15,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 1, 2, 4]], [35, [12, 6, 1]], [62, 1], [68, 2], [74, 0], [101, 2]]",[0.00024181095061728396]
layer_6,16,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 8, 1, 1]], [35, [36, 1, 2]], [62, 1], [68, 0], [74, 1], [101, 1]]",[2.7762848139711463e-05]
layer_6,17,"[[31, [1, 1, 1, 13, 1]], [33, [2, 1, 1, 4, 2]], [35, [18, 2, 2]], [62, 0], [68, 2], [74, 3], [101, 2]]",[0.00100119552]
layer_6,18,"[[31, [1, 1, 13, 1, 1]], [33, [1, 8, 2, 1, 1]], [35, [18, 4, 1]], [62, 2], [68, 2], [74, 2], [101, 0]]",[5.447161380323054e-05]
layer_6,19,"[[31, [13, 1, 1, 1, 1]], [33, [1, 8, 1, 2, 1]], [35, [6, 6, 2]], [62, 1], [68, 3], [74, 2], [101, 4]]",[2.540557510308266e-05]
layer_6,20,"[[31, [1, 1, 13, 1, 1]], [33, [2, 4, 1, 1, 2]], [35, [36, 1, 2]], [62, 1], [68, 3], [74, 0], [101, 2]]",[9.334101262778112e-05]
layer_6,21,"[[31, [13, 1, 1, 1, 1]], [33, [1, 2, 8, 1, 1]], [35, [9, 2, 4]], [62, 0], [68, 0], [74, 2], [101, 3]]",[2.0447187395596056e-05]
layer_6,22,"[[31, [1, 1, 1, 13, 1]], [33, [4, 4, 1, 1, 1]], [35, [18, 1, 4]], [62, 0], [68, 1], [74, 1], [101, 3]]",[0.00010219513684210527]
layer_6,23,"[[31, [1, 1, 13, 1, 1]], [33, [4, 1, 1, 4, 1]], [35, [18, 4, 1]], [62, 3], [68, 3], [74, 0], [101, 2]]",[9.090025520523497e-05]
layer_6,24,"[[31, [1, 1, 13, 1, 1]], [33, [2, 8, 1, 1, 1]], [35, [24, 3, 1]], [62, 2], [68, 2], [74, 0], [101, 0]]",[0.00010028404993429699]
layer_6,25,"[[31, [13, 1, 1, 1, 1]], [33, [1, 8, 1, 2, 1]], [35, [8, 3, 3]], [62, 0], [68, 1], [74, 2], [101, 4]]",[1.9574442176870747e-05]
layer_6,26,"[[31, [1, 1, 13, 1, 1]], [33, [4, 2, 1, 2, 1]], [35, [24, 3, 1]], [62, 2], [68, 2], [74, 0], [101, 3]]",[4.67903990131579e-05]
layer_6,27,"[[31, [1, 1, 13, 1, 1]], [33, [4, 2, 1, 1, 2]], [35, [18, 1, 4]], [62, 1], [68, 0], [74, 2], [101, 0]]",[9.497853032178219e-05]
layer_6,28,"[[31, [1, 13, 1, 1, 1]], [33, [2, 2, 1, 2, 2]], [35, [4, 9, 2]], [62, 1], [68, 0], [74, 2], [101, 4]]",[3.971804783417486e-05]
layer_6,29,"[[31, [1, 1, 1, 13, 1]], [33, [4, 1, 1, 1, 4]], [35, [18, 2, 2]], [62, 0], [68, 0], [74, 1], [101, 3]]",[0.0001517859399806389]
layer_6,30,"[[31, [1, 1, 1, 13, 1]], [33, [2, 8, 1, 1, 1]], [35, [24, 3, 1]], [62, 0], [68, 3], [74, 2], [101, 1]]",[0.0011786842705882354]
layer_6,31,"[[31, [1, 1, 1, 13, 1]], [33, [4, 1, 1, 1, 4]], [35, [18, 1, 4]], [62, 0], [68, 1], [74, 1], [101, 3]]",[0.00015115853314121038]
layer_6,32,"[[31, [1, 1, 13, 1, 1]], [33, [4, 4, 1, 1, 1]], [35, [36, 1, 2]], [62, 1], [68, 1], [74, 2], [101, 1]]",[4.5868744835965985e-05]
layer_6,33,"[[31, [13, 1, 1, 1, 1]], [33, [2, 2, 1, 1, 4]], [35, [12, 6, 1]], [62, 2], [68, 2], [74, 1], [101, 2]]",[0.00011300860866318146]
layer_6,34,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 2, 2, 2]], [35, [24, 3, 1]], [62, 0], [68, 2], [74, 2], [101, 2]]",[7.701257620253165e-05]
layer_6,35,"[[31, [1, 13, 1, 1, 1]], [33, [4, 1, 1, 2, 2]], [35, [6, 12, 1]], [62, 1], [68, 1], [74, 3], [101, 3]]",[10000000000]
layer_6,36,"[[31, [1, 13, 1, 1, 1]], [33, [2, 1, 1, 4, 2]], [35, [18, 2, 2]], [62, 0], [68, 0], [74, 3], [101, 2]]",[7.062009042809043e-05]
layer_6,37,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 2, 2, 1]], [35, [12, 6, 1]], [62, 2], [68, 2], [74, 2], [101, 2]]",[4.399496354799514e-05]
layer_6,38,"[[31, [1, 1, 13, 1, 1]], [33, [2, 2, 1, 1, 4]], [35, [72, 1, 1]], [62, 1], [68, 0], [74, 2], [101, 0]]",[6.862732210242589e-05]
layer_6,39,"[[31, [1, 13, 1, 1, 1]], [33, [8, 1, 1, 2, 1]], [35, [3, 12, 2]], [62, 2], [68, 0], [74, 2], [101, 3]]",[5.7997657012195124e-05]
layer_6,40,"[[31, [13, 1, 1, 1, 1]], [33, [1, 8, 1, 2, 1]], [35, [6, 12, 1]], [62, 1], [68, 3], [74, 2], [101, 4]]",[2.5286052177324444e-05]
layer_6,41,"[[31, [1, 1, 13, 1, 1]], [33, [1, 8, 2, 1, 1]], [35, [18, 4, 1]], [62, 2], [68, 3], [74, 3], [101, 0]]",[5.988056602221309e-05]
layer_6,42,"[[31, [1, 13, 1, 1, 1]], [33, [1, 4, 2, 2, 1]], [35, [12, 2, 3]], [62, 2], [68, 0], [74, 0], [101, 4]]",[1.7487470431893687e-05]
layer_6,43,"[[31, [1, 1, 1, 13, 1]], [33, [1, 8, 1, 1, 2]], [35, [18, 1, 4]], [62, 2], [68, 0], [74, 1], [101, 0]]",[0.0007625887867298578]
layer_6,44,"[[31, [1, 1, 13, 1, 1]], [33, [8, 1, 2, 1, 1]], [35, [72, 1, 1]], [62, 0], [68, 1], [74, 0], [101, 4]]",[8.619338920134983e-05]
layer_6,45,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 1, 4, 1]], [35, [72, 1, 1]], [62, 0], [68, 0], [74, 1], [101, 1]]",[8.99012266508031e-05]
layer_6,46,"[[31, [13, 1, 1, 1, 1]], [33, [2, 4, 2, 1, 1]], [35, [18, 2, 2]], [62, 0], [68, 1], [74, 0], [101, 2]]",[4.021766403699674e-05]
layer_6,47,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 1, 4, 1]], [35, [72, 1, 1]], [62, 0], [68, 2], [74, 3], [101, 0]]",[10000000000]
layer_6,48,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 4, 1, 2]], [35, [8, 3, 3]], [62, 0], [68, 1], [74, 0], [101, 2]]",[7.1220484738041e-05]
layer_6,49,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 8, 1, 1]], [35, [12, 2, 3]], [62, 1], [68, 0], [74, 3], [101, 2]]",[10000000000]
layer_6,50,"[[31, [1, 1, 1, 13, 1]], [33, [4, 4, 1, 1, 1]], [35, [18, 1, 4]], [62, 0], [68, 3], [74, 1], [101, 3]]",[6.800884449648712e-05]
layer_6,51,"[[31, [1, 1, 1, 13, 1]], [33, [2, 1, 2, 1, 4]], [35, [36, 2, 1]], [62, 1], [68, 3], [74, 0], [101, 0]]",[0.00028600165647482017]
layer_6,52,"[[31, [13, 1, 1, 1, 1]], [33, [4, 1, 1, 2, 2]], [35, [24, 1, 3]], [62, 0], [68, 0], [74, 1], [101, 4]]",[4.4324391532756484e-05]
layer_6,53,"[[31, [1, 1, 1, 13, 1]], [33, [2, 4, 1, 2, 1]], [35, [72, 1, 1]], [62, 2], [68, 1], [74, 1], [101, 2]]",[0.0008743846684782608]
layer_6,54,"[[31, [13, 1, 1, 1, 1]], [33, [2, 2, 4, 1, 1]], [35, [24, 3, 1]], [62, 1], [68, 2], [74, 1], [101, 3]]",[5.161163417227934e-05]
layer_6,55,"[[31, [13, 1, 1, 1, 1]], [33, [1, 1, 1, 4, 4]], [35, [24, 1, 3]], [62, 1], [68, 3], [74, 1], [101, 3]]",[0.00043073866486486494]
layer_6,56,"[[31, [1, 1, 13, 1, 1]], [33, [1, 8, 2, 1, 1]], [35, [24, 3, 1]], [62, 2], [68, 2], [74, 2], [101, 0]]",[7.687984405063291e-05]
layer_6,57,"[[31, [1, 13, 1, 1, 1]], [33, [1, 4, 2, 2, 1]], [35, [18, 2, 2]], [62, 0], [68, 3], [74, 3], [101, 2]]",[5.7523547206165706e-05]
layer_6,58,"[[31, [1, 13, 1, 1, 1]], [33, [4, 2, 2, 1, 1]], [35, [6, 12, 1]], [62, 1], [68, 1], [74, 2], [101, 1]]",[6.612680735163862e-05]
layer_6,59,"[[31, [1, 1, 1, 13, 1]], [33, [2, 1, 1, 8, 1]], [35, [18, 4, 1]], [62, 2], [68, 2], [74, 2], [101, 1]]",[0.0010868652905405404]
layer_6,60,"[[31, [1, 1, 13, 1, 1]], [33, [16, 1, 1, 1, 1]], [35, [18, 4, 1]], [62, 2], [68, 0], [74, 2], [101, 1]]",[9.016996668649613e-05]
layer_6,61,"[[31, [1, 13, 1, 1, 1]], [33, [1, 1, 2, 4, 2]], [35, [18, 2, 2]], [62, 2], [68, 3], [74, 1], [101, 2]]",[0.00029504142007434945]
layer_6,62,"[[31, [1, 1, 13, 1, 1]], [33, [1, 8, 2, 1, 1]], [35, [24, 1, 3]], [62, 0], [68, 3], [74, 1], [101, 1]]",[5.8392815256257454e-05]
layer_6,63,"[[31, [1, 13, 1, 1, 1]], [33, [1, 1, 4, 1, 4]], [35, [18, 1, 4]], [62, 1], [68, 1], [74, 3], [101, 4]]",[3.4404231601731606e-05]
layer_6,64,"[[31, [13, 1, 1, 1, 1]], [33, [8, 1, 2, 1, 1]], [35, [36, 1, 2]], [62, 1], [68, 1], [74, 2], [101, 1]]",[5.170218517179024e-05]
layer_6,65,"[[31, [1, 13, 1, 1, 1]], [33, [4, 1, 1, 4, 1]], [35, [18, 1, 4]], [62, 1], [68, 3], [74, 1], [101, 1]]",[0.00013282903986429177]
layer_6,66,"[[31, [13, 1, 1, 1, 1]], [33, [4, 4, 1, 1, 1]], [35, [36, 1, 2]], [62, 1], [68, 1], [74, 1], [101, 1]]",[1.5831957099468488e-05]
layer_6,67,"[[31, [1, 1, 13, 1, 1]], [33, [8, 2, 1, 1, 1]], [35, [72, 1, 1]], [62, 1], [68, 3], [74, 1], [101, 4]]",[10000000000]
layer_6,68,"[[31, [1, 1, 1, 13, 1]], [33, [2, 4, 1, 1, 2]], [35, [36, 1, 2]], [62, 1], [68, 3], [74, 3], [101, 2]]",[10000000000]
layer_6,69,"[[31, [1, 1, 13, 1, 1]], [33, [1, 8, 1, 1, 2]], [35, [24, 1, 3]], [62, 0], [68, 0], [74, 0], [101, 2]]",[4.5949446377728566e-05]
layer_6,70,"[[31, [1, 1, 13, 1, 1]], [33, [8, 2, 1, 1, 1]], [35, [24, 1, 3]], [62, 1], [68, 0], [74, 0], [101, 3]]",[2.7898090724989874e-05]
layer_6,71,"[[31, [1, 13, 1, 1, 1]], [33, [2, 2, 1, 1, 4]], [35, [6, 12, 1]], [62, 2], [68, 0], [74, 1], [101, 3]]",[6.0017664408130724e-05]
layer_6,72,"[[31, [1, 1, 13, 1, 1]], [33, [1, 4, 2, 1, 2]], [35, [18, 4, 1]], [62, 0], [68, 0], [74, 1], [101, 0]]",[4.0361626224156686e-05]
layer_6,73,"[[31, [1, 1, 13, 1, 1]], [33, [2, 2, 1, 4, 1]], [35, [72, 1, 1]], [62, 1], [68, 2], [74, 2], [101, 2]]",[0.0001129332099853157]
layer_6,74,"[[31, [1, 13, 1, 1, 1]], [33, [2, 2, 2, 2, 1]], [35, [6, 3, 4]], [62, 1], [68, 1], [74, 0], [101, 3]]",[1.5806245251262323e-05]
layer_6,75,"[[31, [1, 1, 13, 1, 1]], [33, [2, 2, 2, 1, 2]], [35, [18, 4, 1]], [62, 1], [68, 2], [74, 2], [101, 2]]",[4.937874661071659e-05]
layer_6,76,"[[31, [1, 1, 1, 13, 1]], [33, [4, 1, 1, 1, 4]], [35, [18, 1, 4]], [62, 2], [68, 1], [74, 3], [101, 1]]",[0.00017110313146551724]
