layer,trial_index,tile_size,execution_time
layer_4,0,"[[25, [1, 7, 7, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [1, 2, 2]], [56, 2], [62, 1], [68, 0], [95, 3]]",[5.24543597273204e-06]
layer_4,1,"[[25, [7, 1, 7, 1, 1]], [27, [1, 1, 4, 1, 2]], [29, [1, 1, 4]], [56, 0], [62, 1], [68, 3], [95, 4]]",[1.1126074274852155e-05]
layer_4,2,"[[25, [1, 7, 1, 7, 1]], [27, [1, 4, 2, 1, 1]], [29, [1, 4, 1]], [56, 1], [62, 2], [68, 2], [95, 1]]",[4.52631332381832e-06]
layer_4,3,"[[25, [7, 1, 7, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [2, 1, 2]], [56, 1], [62, 0], [68, 2], [95, 1]]",[5.614897715151856e-06]
layer_4,4,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 2, 2, 2]], [29, [2, 1, 2]], [56, 0], [62, 0], [68, 1], [95, 0]]",[7.421979721049735e-06]
layer_4,5,"[[25, [1, 7, 7, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [1, 4, 1]], [56, 3], [62, 0], [68, 0], [95, 4]]",[10000000000]
layer_4,6,"[[25, [7, 7, 1, 1, 1]], [27, [2, 4, 1, 1, 1]], [29, [4, 1, 1]], [56, 0], [62, 1], [68, 0], [95, 4]]",[3.948882973479247e-06]
layer_4,7,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 1, 4]], [29, [2, 2, 1]], [56, 3], [62, 1], [68, 0], [95, 1]]",[10000000000]
layer_4,8,"[[25, [7, 1, 1, 7, 1]], [27, [1, 1, 1, 4, 2]], [29, [1, 2, 2]], [56, 1], [62, 1], [68, 0], [95, 1]]",[1.2257789839389452e-05]
layer_4,9,"[[25, [1, 49, 1, 1, 1]], [27, [1, 8, 1, 1, 1]], [29, [2, 1, 2]], [56, 1], [62, 1], [68, 0], [95, 2]]",[3.84864913020065e-06]
layer_4,10,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 1, 4, 2]], [29, [4, 1, 1]], [56, 2], [62, 0], [68, 2], [95, 2]]",[5.640247332821979e-06]
layer_4,11,"[[25, [1, 49, 1, 1, 1]], [27, [2, 4, 1, 1, 1]], [29, [4, 1, 1]], [56, 2], [62, 2], [68, 2], [95, 3]]",[3.138382504442495e-06]
layer_4,12,"[[25, [7, 7, 1, 1, 1]], [27, [4, 1, 2, 1, 1]], [29, [1, 2, 2]], [56, 2], [62, 1], [68, 3], [95, 4]]",[3.4570584745409888e-06]
layer_4,13,"[[25, [7, 7, 1, 1, 1]], [27, [1, 1, 1, 2, 4]], [29, [2, 2, 1]], [56, 2], [62, 2], [68, 0], [95, 4]]",[7.951163958080195e-06]
layer_4,14,"[[25, [1, 7, 1, 7, 1]], [27, [1, 4, 1, 2, 1]], [29, [2, 1, 2]], [56, 1], [62, 0], [68, 0], [95, 0]]",[6.783198708541238e-06]
layer_4,15,"[[25, [1, 7, 7, 1, 1]], [27, [2, 4, 1, 1, 1]], [29, [1, 1, 4]], [56, 0], [62, 0], [68, 2], [95, 3]]",[5.978814109907979e-06]
layer_4,16,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 2, 1, 2]], [29, [2, 1, 2]], [56, 0], [62, 1], [68, 0], [95, 0]]",[5.4316328282005315e-06]
layer_4,17,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [1, 4, 1]], [56, 3], [62, 0], [68, 1], [95, 2]]",[10000000000]
layer_4,18,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 2, 1, 1]], [29, [1, 4, 1]], [56, 2], [62, 2], [68, 2], [95, 1]]",[3.025619071345529e-06]
layer_4,19,"[[25, [7, 1, 1, 7, 1]], [27, [1, 2, 4, 1, 1]], [29, [1, 4, 1]], [56, 1], [62, 2], [68, 2], [95, 1]]",[5.613676798942719e-06]
layer_4,20,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [2, 1, 2]], [56, 0], [62, 1], [68, 3], [95, 4]]",[3.3518598020049083e-06]
layer_4,21,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 4, 1, 1]], [29, [1, 2, 2]], [56, 0], [62, 0], [68, 0], [95, 4]]",[3.560741658596707e-06]
layer_4,22,"[[25, [7, 1, 1, 7, 1]], [27, [4, 1, 2, 1, 1]], [29, [4, 1, 1]], [56, 0], [62, 2], [68, 2], [95, 0]]",[5.9469232523914646e-06]
layer_4,23,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [4, 1, 1]], [56, 2], [62, 2], [68, 1], [95, 2]]",[4.951997337006428e-06]
layer_4,24,"[[25, [7, 7, 1, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [1, 1, 4]], [56, 2], [62, 1], [68, 1], [95, 1]]",[3.235196526204501e-06]
layer_4,25,"[[25, [7, 1, 7, 1, 1]], [27, [1, 1, 2, 1, 4]], [29, [4, 1, 1]], [56, 0], [62, 0], [68, 0], [95, 2]]",[1.2802588596019365e-05]
layer_4,26,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 1, 4]], [29, [2, 2, 1]], [56, 3], [62, 1], [68, 1], [95, 1]]",[10000000000]
layer_4,27,"[[25, [7, 1, 1, 7, 1]], [27, [2, 1, 1, 2, 2]], [29, [2, 2, 1]], [56, 1], [62, 2], [68, 3], [95, 3]]",[5.812776550185339e-06]
layer_4,28,"[[25, [7, 1, 1, 7, 1]], [27, [1, 4, 1, 2, 1]], [29, [1, 4, 1]], [56, 0], [62, 0], [68, 1], [95, 2]]",[8.054512454434994e-06]
layer_4,29,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 2, 4, 1]], [29, [2, 2, 1]], [56, 2], [62, 1], [68, 0], [95, 4]]",[3.687855279475596e-06]
layer_4,30,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 2, 2, 2]], [29, [2, 1, 2]], [56, 1], [62, 0], [68, 1], [95, 0]]",[6.687148435410537e-06]
layer_4,31,"[[25, [1, 7, 1, 7, 1]], [27, [2, 1, 2, 1, 2]], [29, [1, 1, 4]], [56, 2], [62, 0], [68, 1], [95, 4]]",[8.63762898350462e-06]
layer_4,32,"[[25, [1, 7, 1, 7, 1]], [27, [4, 1, 1, 1, 2]], [29, [2, 2, 1]], [56, 2], [62, 2], [68, 0], [95, 4]]",[5.795130389429764e-06]
layer_4,33,"[[25, [7, 1, 1, 7, 1]], [27, [4, 1, 2, 1, 1]], [29, [2, 1, 2]], [56, 0], [62, 1], [68, 0], [95, 1]]",[6.78640034400302e-06]
layer_4,34,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 4, 1, 1]], [29, [4, 1, 1]], [56, 0], [62, 2], [68, 1], [95, 1]]",[4.625946906450138e-06]
layer_4,35,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 2, 4, 1]], [29, [1, 4, 1]], [56, 2], [62, 0], [68, 0], [95, 3]]",[1.0576336383043612e-05]
layer_4,36,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 1, 4]], [29, [2, 2, 1]], [56, 3], [62, 2], [68, 1], [95, 1]]",[10000000000]
layer_4,37,"[[25, [1, 7, 7, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [1, 4, 1]], [56, 2], [62, 1], [68, 1], [95, 2]]",[5.449655080359575e-06]
layer_4,38,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 4, 1, 1]], [29, [2, 1, 2]], [56, 0], [62, 2], [68, 1], [95, 3]]",[4.7269974949189395e-06]
layer_4,39,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 4, 1, 2]], [29, [2, 2, 1]], [56, 0], [62, 0], [68, 3], [95, 3]]",[1.1373174932759548e-05]
layer_4,40,"[[25, [7, 7, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [1, 1, 4]], [56, 2], [62, 2], [68, 3], [95, 3]]",[2.930624950470272e-06]
layer_4,41,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 2, 1, 4]], [29, [4, 1, 1]], [56, 1], [62, 0], [68, 1], [95, 2]]",[6.949968035577791e-06]
layer_4,42,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [2, 1, 2]], [56, 1], [62, 1], [68, 2], [95, 3]]",[3.0545330144509403e-06]
layer_4,43,"[[25, [7, 7, 1, 1, 1]], [27, [2, 1, 2, 1, 2]], [29, [2, 2, 1]], [56, 0], [62, 1], [68, 0], [95, 0]]",[5.263539622641509e-06]
layer_4,44,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 2, 1, 1]], [29, [4, 1, 1]], [56, 2], [62, 1], [68, 1], [95, 1]]",[3.2199803690317675e-06]
layer_4,45,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 4, 1, 1]], [29, [1, 1, 4]], [56, 0], [62, 1], [68, 2], [95, 4]]",[4.16288098869725e-06]
layer_4,46,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [4, 1, 1]], [56, 2], [62, 1], [68, 1], [95, 1]]",[6.5351717965005485e-06]
layer_4,47,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [4, 1, 1]], [56, 2], [62, 0], [68, 2], [95, 2]]",[3.108597238658777e-06]
layer_4,48,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [1, 2, 2]], [56, 0], [62, 2], [68, 0], [95, 2]]",[3.786589606237985e-06]
layer_4,49,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 1, 1, 2]], [29, [4, 1, 1]], [56, 2], [62, 0], [68, 1], [95, 4]]",[3.820295777336591e-06]
layer_4,50,"[[25, [7, 1, 7, 1, 1]], [27, [2, 1, 1, 1, 4]], [29, [2, 2, 1]], [56, 0], [62, 0], [68, 0], [95, 4]]",[9.195204217241073e-06]
layer_4,51,"[[25, [1, 7, 1, 7, 1]], [27, [2, 1, 2, 1, 2]], [29, [4, 1, 1]], [56, 0], [62, 2], [68, 0], [95, 2]]",[8.589025590382139e-06]
layer_4,52,"[[25, [7, 7, 1, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [2, 2, 1]], [56, 1], [62, 0], [68, 3], [95, 1]]",[3.524361367368869e-06]
layer_4,53,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 2, 1, 2]], [29, [4, 1, 1]], [56, 1], [62, 0], [68, 1], [95, 2]]",[4.288373370497428e-06]
layer_4,54,"[[25, [7, 1, 7, 1, 1]], [27, [1, 1, 1, 2, 4]], [29, [1, 4, 1]], [56, 1], [62, 0], [68, 2], [95, 3]]",[8.512993239859789e-06]
layer_4,55,"[[25, [7, 7, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [1, 2, 2]], [56, 1], [62, 1], [68, 3], [95, 0]]",[5.0841817072550715e-06]
layer_4,56,"[[25, [1, 49, 1, 1, 1]], [27, [2, 4, 1, 1, 1]], [29, [2, 1, 2]], [56, 2], [62, 1], [68, 0], [95, 1]]",[3.930069866399675e-06]
layer_4,57,"[[25, [49, 1, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [4, 1, 1]], [56, 2], [62, 0], [68, 3], [95, 1]]",[3.457776302329621e-06]
layer_4,58,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 2, 1, 2]], [29, [1, 1, 4]], [56, 2], [62, 0], [68, 3], [95, 1]]",[3.405812331768388e-06]
layer_4,59,"[[25, [7, 1, 1, 7, 1]], [27, [2, 2, 1, 2, 1]], [29, [1, 2, 2]], [56, 1], [62, 2], [68, 0], [95, 1]]",[5.236609057591623e-06]
layer_4,60,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [4, 1, 1]], [56, 1], [62, 1], [68, 2], [95, 3]]",[3.628519769424373e-06]
layer_4,61,"[[25, [1, 49, 1, 1, 1]], [27, [2, 4, 1, 1, 1]], [29, [1, 4, 1]], [56, 0], [62, 1], [68, 2], [95, 2]]",[5.4647291765182735e-06]
layer_4,62,"[[25, [7, 1, 7, 1, 1]], [27, [1, 2, 1, 2, 2]], [29, [4, 1, 1]], [56, 1], [62, 1], [68, 1], [95, 3]]",[4.300549400600728e-06]
layer_4,63,"[[25, [1, 7, 7, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [2, 2, 1]], [56, 2], [62, 1], [68, 2], [95, 3]]",[3.415895002558417e-06]
layer_4,64,"[[25, [1, 49, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [2, 1, 2]], [56, 1], [62, 1], [68, 2], [95, 4]]",[3.286317620946505e-06]
layer_4,65,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 1, 4, 1]], [29, [4, 1, 1]], [56, 1], [62, 1], [68, 1], [95, 2]]",[3.6099330807569193e-06]
layer_4,66,"[[25, [7, 7, 1, 1, 1]], [27, [1, 1, 4, 1, 2]], [29, [2, 1, 2]], [56, 2], [62, 1], [68, 2], [95, 1]]",[5.5511226132326815e-06]
layer_4,67,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 1, 2, 4]], [29, [1, 1, 4]], [56, 3], [62, 0], [68, 3], [95, 0]]",[10000000000]
layer_4,68,"[[25, [49, 1, 1, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [4, 1, 1]], [56, 2], [62, 2], [68, 2], [95, 1]]",[3.47623688411903e-06]
layer_4,69,"[[25, [1, 49, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [1, 1, 4]], [56, 1], [62, 1], [68, 2], [95, 3]]",[3.326637539914848e-06]
layer_4,70,"[[25, [7, 7, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [2, 2, 1]], [56, 0], [62, 2], [68, 1], [95, 0]]",[3.963000056692556e-06]
layer_4,71,"[[25, [1, 7, 7, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [2, 1, 2]], [56, 3], [62, 1], [68, 0], [95, 2]]",[10000000000]
layer_4,72,"[[25, [7, 7, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [4, 1, 1]], [56, 1], [62, 2], [68, 2], [95, 1]]",[3.146515873264596e-06]
layer_4,73,"[[25, [7, 7, 1, 1, 1]], [27, [1, 2, 1, 4, 1]], [29, [4, 1, 1]], [56, 2], [62, 0], [68, 2], [95, 0]]",[3.866057802233026e-06]
layer_4,74,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 2, 1, 2]], [29, [1, 1, 4]], [56, 1], [62, 0], [68, 1], [95, 2]]",[4.35616636128476e-06]
layer_4,75,"[[25, [7, 7, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [1, 1, 4]], [56, 2], [62, 2], [68, 2], [95, 0]]",[2.991395013776213e-06]
layer_4,76,"[[25, [1, 7, 7, 1, 1]], [27, [1, 1, 2, 1, 4]], [29, [1, 4, 1]], [56, 1], [62, 2], [68, 1], [95, 3]]",[6.915714703102174e-06]
layer_4,77,"[[25, [1, 7, 1, 7, 1]], [27, [2, 1, 2, 2, 1]], [29, [1, 2, 2]], [56, 2], [62, 2], [68, 1], [95, 0]]",[6.448564361172016e-06]
