layer,trial_index,tile_size,execution_time
layer_8,0,"[[31, [1, 13, 1, 1, 1]], [33, [1, 1, 8, 1, 2]], [35, [48, 1, 3]], [62, 1], [68, 0], [74, 2], [101, 0]]",[0.00042027528333333337]
layer_8,1,"[[31, [13, 1, 1, 1, 1]], [33, [4, 1, 1, 1, 4]], [35, [36, 2, 2]], [62, 0], [68, 3], [74, 0], [101, 3]]",[0.00012134722056514915]
layer_8,2,"[[31, [1, 1, 13, 1, 1]], [33, [2, 2, 1, 2, 2]], [35, [36, 4, 1]], [62, 2], [68, 0], [74, 2], [101, 4]]",[0.00011686476731927711]
layer_8,3,"[[31, [1, 13, 1, 1, 1]], [33, [8, 1, 2, 1, 1]], [35, [12, 4, 3]], [62, 0], [68, 3], [74, 3], [101, 4]]",[10000000000]
layer_8,4,"[[31, [1, 13, 1, 1, 1]], [33, [2, 8, 1, 1, 1]], [35, [48, 1, 3]], [62, 2], [68, 2], [74, 2], [101, 3]]",[8.356713448090372e-05]
layer_8,5,"[[31, [13, 1, 1, 1, 1]], [33, [1, 2, 1, 4, 2]], [35, [48, 1, 3]], [62, 1], [68, 0], [74, 0], [101, 4]]",[0.00020504570687418936]
layer_8,6,"[[31, [1, 13, 1, 1, 1]], [33, [4, 1, 2, 2, 1]], [35, [48, 3, 1]], [62, 2], [68, 1], [74, 1], [101, 2]]",[7.586186746987951e-05]
layer_8,7,"[[31, [1, 1, 13, 1, 1]], [33, [4, 1, 1, 1, 4]], [35, [72, 1, 2]], [62, 2], [68, 3], [74, 2], [101, 0]]",[0.00010809384057971015]
layer_8,8,"[[31, [13, 1, 1, 1, 1]], [33, [1, 2, 1, 4, 2]], [35, [48, 1, 3]], [62, 2], [68, 0], [74, 2], [101, 1]]",[0.0006388988174603175]
layer_8,9,"[[31, [13, 1, 1, 1, 1]], [33, [4, 2, 2, 1, 1]], [35, [48, 3, 1]], [62, 2], [68, 3], [74, 1], [101, 1]]",[9.152769006543724e-05]
layer_8,10,"[[31, [1, 13, 1, 1, 1]], [33, [2, 2, 4, 1, 1]], [35, [9, 8, 2]], [62, 1], [68, 1], [74, 0], [101, 4]]",[9.185882529411765e-05]
layer_8,11,"[[31, [1, 13, 1, 1, 1]], [33, [1, 1, 1, 16, 1]], [35, [72, 2, 1]], [62, 2], [68, 1], [74, 2], [101, 3]]",[0.00022652536130867714]
layer_8,12,"[[31, [1, 13, 1, 1, 1]], [33, [1, 4, 1, 1, 4]], [35, [24, 2, 3]], [62, 0], [68, 1], [74, 2], [101, 4]]",[7.815012455696202e-05]
layer_8,13,"[[31, [1, 13, 1, 1, 1]], [33, [1, 4, 2, 2, 1]], [35, [8, 18, 1]], [62, 2], [68, 3], [74, 0], [101, 1]]",[0.0002070135600522193]
layer_8,14,"[[31, [1, 13, 1, 1, 1]], [33, [1, 1, 4, 2, 2]], [35, [72, 2, 1]], [62, 1], [68, 3], [74, 2], [101, 3]]",[0.00019934596977329975]
layer_8,15,"[[31, [1, 13, 1, 1, 1]], [33, [2, 1, 8, 1, 1]], [35, [48, 1, 3]], [62, 2], [68, 3], [74, 2], [101, 3]]",[0.0001665816014957265]
layer_8,16,"[[31, [13, 1, 1, 1, 1]], [33, [1, 2, 1, 4, 2]], [35, [18, 2, 4]], [62, 1], [68, 1], [74, 2], [101, 3]]",[0.000323213703030303]
layer_8,17,"[[31, [13, 1, 1, 1, 1]], [33, [4, 2, 1, 1, 2]], [35, [6, 24, 1]], [62, 0], [68, 0], [74, 2], [101, 1]]",[0.0002786405052447553]
layer_8,18,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 2, 1, 2]], [35, [72, 1, 2]], [62, 2], [68, 3], [74, 1], [101, 2]]",[0.00011502235847647497]
layer_8,19,"[[31, [1, 1, 13, 1, 1]], [33, [1, 4, 1, 2, 2]], [35, [36, 1, 4]], [62, 3], [68, 2], [74, 2], [101, 0]]",[9.584462554246746e-05]
layer_8,20,"[[31, [1, 1, 13, 1, 1]], [33, [2, 4, 1, 1, 2]], [35, [48, 3, 1]], [62, 1], [68, 0], [74, 2], [101, 0]]",[0.00022305530995792423]
layer_8,21,"[[31, [1, 13, 1, 1, 1]], [33, [2, 1, 1, 2, 4]], [35, [36, 4, 1]], [62, 0], [68, 3], [74, 1], [101, 2]]",[0.0002405594493192133]
layer_8,22,"[[31, [13, 1, 1, 1, 1]], [33, [1, 8, 2, 1, 1]], [35, [16, 3, 3]], [62, 0], [68, 1], [74, 2], [101, 0]]",[8.149297689075632e-05]
layer_8,23,"[[31, [13, 1, 1, 1, 1]], [33, [4, 4, 1, 1, 1]], [35, [12, 12, 1]], [62, 0], [68, 2], [74, 1], [101, 1]]",[0.00016209908986415883]
layer_8,24,"[[31, [13, 1, 1, 1, 1]], [33, [2, 1, 2, 4, 1]], [35, [36, 2, 2]], [62, 2], [68, 3], [74, 1], [101, 4]]",[4.458973527662105e-05]
layer_8,25,"[[31, [1, 13, 1, 1, 1]], [33, [2, 8, 1, 1, 1]], [35, [6, 24, 1]], [62, 0], [68, 2], [74, 1], [101, 1]]",[0.000206527906614786]
layer_8,26,"[[31, [1, 13, 1, 1, 1]], [33, [2, 8, 1, 1, 1]], [35, [48, 1, 3]], [62, 2], [68, 1], [74, 2], [101, 3]]",[4.7882739832149774e-05]
layer_8,27,"[[31, [13, 1, 1, 1, 1]], [33, [16, 1, 1, 1, 1]], [35, [18, 2, 4]], [62, 0], [68, 2], [74, 1], [101, 2]]",[0.00011123197984161267]
layer_8,28,"[[31, [13, 1, 1, 1, 1]], [33, [2, 4, 2, 1, 1]], [35, [48, 3, 1]], [62, 0], [68, 0], [74, 3], [101, 1]]",[10000000000]
layer_8,29,"[[31, [1, 13, 1, 1, 1]], [33, [1, 16, 1, 1, 1]], [35, [48, 1, 3]], [62, 2], [68, 1], [74, 2], [101, 3]]",[4.74461061975468e-05]
layer_8,30,"[[31, [1, 1, 1, 13, 1]], [33, [2, 2, 2, 1, 2]], [35, [48, 3, 1]], [62, 0], [68, 2], [74, 1], [101, 1]]",[0.0009024484234234233]
layer_8,31,"[[31, [1, 13, 1, 1, 1]], [33, [1, 2, 4, 1, 2]], [35, [72, 2, 1]], [62, 0], [68, 3], [74, 0], [101, 1]]",[0.00012781716313213704]
layer_8,32,"[[31, [13, 1, 1, 1, 1]], [33, [4, 4, 1, 1, 1]], [35, [48, 3, 1]], [62, 2], [68, 3], [74, 1], [101, 1]]",[0.00018066584144960364]
layer_8,33,"[[31, [13, 1, 1, 1, 1]], [33, [8, 2, 1, 1, 1]], [35, [6, 8, 3]], [62, 0], [68, 1], [74, 0], [101, 3]]",[4.6634562616243024e-05]
layer_8,34,"[[31, [13, 1, 1, 1, 1]], [33, [1, 4, 1, 2, 2]], [35, [36, 1, 4]], [62, 1], [68, 0], [74, 2], [101, 4]]",[0.0001645180354535975]
