layer,trial_index,tile_size,execution_time
layer_5,32,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 1, 4]], [29, [36, 1, 2]], [56, 2], [62, 1], [68, 1], [95, 2]]",[2.7255651883353588e-05]
layer_5,33,"[[25, [7, 7, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [4, 6, 3]], [56, 1], [62, 1], [68, 3], [95, 1]]",[3.853643688792166e-05]
layer_5,34,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [18, 1, 4]], [56, 1], [62, 3], [68, 0], [95, 4]]",[4.651600213349589e-05]
layer_5,35,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 8, 1, 1]], [29, [18, 4, 1]], [56, 1], [62, 0], [68, 0], [95, 4]]",[7.2588389943074e-05]
layer_5,36,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [18, 1, 4]], [56, 2], [62, 1], [68, 2], [95, 1]]",[5.150866689373297e-05]
layer_5,37,"[[25, [1, 49, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [12, 6, 1]], [56, 0], [62, 1], [68, 2], [95, 3]]",[1.8931271658882027e-05]
layer_5,38,"[[25, [7, 7, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [8, 9, 1]], [56, 1], [62, 2], [68, 1], [95, 1]]",[5.930245429580228e-05]
layer_5,39,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 4, 2, 1]], [29, [9, 8, 1]], [56, 0], [62, 2], [68, 1], [95, 2]]",[2.8513868986254295e-05]
layer_5,40,"[[25, [1, 49, 1, 1, 1]], [27, [1, 8, 1, 1, 1]], [29, [6, 4, 3]], [56, 0], [62, 1], [68, 1], [95, 2]]",[7.830158337609031e-05]
layer_5,41,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [8, 3, 3]], [56, 3], [62, 1], [68, 3], [95, 2]]",[10000000000]
layer_5,42,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [12, 2, 3]], [56, 0], [62, 0], [68, 0], [95, 1]]",[5.26396925256819e-05]
layer_5,43,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 1, 2, 4]], [29, [36, 1, 2]], [56, 1], [62, 2], [68, 0], [95, 2]]",[0.0001461824353488372]
layer_5,44,"[[25, [49, 1, 1, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [72, 1, 1]], [56, 2], [62, 0], [68, 3], [95, 1]]",[10000000000]
layer_5,45,"[[25, [1, 7, 1, 7, 1]], [27, [1, 1, 4, 2, 1]], [29, [72, 1, 1]], [56, 2], [62, 3], [68, 2], [95, 1]]",[6.637719074639895e-05]
layer_5,46,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [12, 3, 2]], [56, 0], [62, 1], [68, 1], [95, 2]]",[3.450669817219817e-05]
layer_5,47,"[[25, [1, 7, 7, 1, 1]], [27, [1, 2, 1, 2, 2]], [29, [72, 1, 1]], [56, 2], [62, 3], [68, 0], [95, 2]]",[9.449586460230724e-05]
layer_5,48,"[[25, [1, 7, 1, 7, 1]], [27, [1, 2, 1, 2, 2]], [29, [18, 4, 1]], [56, 1], [62, 0], [68, 3], [95, 4]]",[7.276064357864357e-05]
layer_5,49,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 2, 2, 2]], [29, [9, 8, 1]], [56, 0], [62, 2], [68, 1], [95, 2]]",[4.8513448655652744e-05]
layer_5,50,"[[25, [1, 7, 1, 7, 1]], [27, [2, 1, 1, 4, 1]], [29, [18, 1, 4]], [56, 1], [62, 1], [68, 1], [95, 0]]",[0.00016199470666666667]
layer_5,51,"[[25, [7, 7, 1, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [72, 1, 1]], [56, 2], [62, 0], [68, 3], [95, 3]]",[10000000000]
layer_5,52,"[[25, [1, 49, 1, 1, 1]], [27, [4, 1, 1, 2, 1]], [29, [18, 1, 4]], [56, 2], [62, 2], [68, 2], [95, 1]]",[5.95687190115584e-05]
layer_5,53,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 2, 1, 1]], [29, [8, 9, 1]], [56, 2], [62, 2], [68, 2], [95, 2]]",[1.7752599275967695e-05]
layer_5,54,"[[25, [49, 1, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [9, 4, 2]], [56, 1], [62, 2], [68, 2], [95, 0]]",[1.3451845155085358e-05]
layer_5,55,"[[25, [7, 1, 7, 1, 1]], [27, [1, 1, 1, 2, 4]], [29, [72, 1, 1]], [56, 3], [62, 2], [68, 0], [95, 1]]",[10000000000]
